Nombre,Coste,Tipo de efecto,Nuevo precio
Radio de Inteligencia,50,Buff,60
Hospital de Campaña,50,Buff,80
Centro de Ingenieros,80,Buff,80
Fábrica de Camiones,90,Buff,80
Taller de Vehículos,90,Buff,80
Campo de Entrenamiento,90,Buff,80
Ataque de Francotirador,40,Debuff,150
Sabotaje FOB,40,Debuff,150
Artillado Ligero,40,Rotura,150
Truck Assault,50,Debuff,150
Estudios de Física,80,Buff,Disabled
Laboratorio Secreto,90,Buff,150
Comando Especial,130,Disable,150
Dron Cámara,50,Buff,160
HQ (Cuartel General),0,Ninguno,
Artillería,100,Rotura,200
Centro de Inteligencia,110,Desbloqueo,200
Lanzadera de Drones,120,Desbloqueo,200
Taller de Drones,125,Buff,150
Anti-Dron,135,Defensa,170
FOB (Base de Operaciones Avanzada),140,Ninguno,
Torre de Vigilancia,140,Defensa,200
Construcción Prohibida,140,Desbloqueo,250
Base Aérea,170,Ninguno,Disabled
Estación de Tren,170,Buff,80
Dron Bomba,170,Destrucción,170
Tanque,170,Destrucción,170
Planta Nuclear,200,Buff,200
Destructor de Mundos,220,Destrucción,350
