Nombre,Coste,Tipo de efecto
HQ (Cuartel General),0,Ninguno
Ataque de Francotirador,40,Debuff
Sabotaje FOB,40,Debuff
Truck Assault,45,Debuff
Artillado Ligero,45,Rotura
Dron Cámara,50,Buff
Hospital de Campaña,50,Buff
Estudios de Física,60,Buff
Centro de Ingenieros,60,Buff
Radio de Inteligencia,70,Buff
Laboratorio Secreto,70,Buff
Taller de Vehículos,70,Buff
Campo de Entrenamiento,80,Buff
Centro de Inteligencia,80,Desbloqueo
Taller de Drones,85,Buff
Lanzadera de Drones,100,Desbloqueo
Fábrica de Camiones,100,Buff
Anti-Dron,115,Defensa
Comando Especial,120,Disable
FOB (Base de Operaciones Avanzada),120,Ninguno
Torre de Vigilancia,120,Defensa
Construcción Prohibida,120,Desbloqueo
Artillería,120,Rotura
Tanque,150,Destrucción
Base Aérea,150,Ninguno
Dron Bomba,150,Destrucción
Estación de Tren,150,Buff
Planta Nuclear,180,Buff
Destructor de Mundos,200,Destrucción
